Sector_score,Score_A,Score_MV,PROB,Prob,Inherent_Risk,CONTROL_RISK,Audit_Risk,Risk
3.41,0.4,0.6,0.2,0.2,7.84,0.4,1.568,1
3.41,0.4,0.2,0.2,0.2,2.628,1.2,1.5768,1
3.41,0.4,0.2,0.2,0.2,1.804,0.4,0.3608,0
3.41,0.2,0.2,0.2,0.2,1.586,0.4,0.3172,0
3.41,0.6,0.2,0.2,0.2,3.806,0.4,0.7612,0
3.41,0.2,0.2,0.2,0.2,1.618,0.4,0.3236,0
3.41,0.4,0.2,0.2,0.2,1.82,0.4,0.364,0
3.41,0.4,0.2,0.2,0.2,1.86,0.4,0.372,0
3.41,0.2,0.2,0.2,0.2,1.582,0.4,0.3164,0
3.41,0.4,0.2,0.2,0.2,1.848,0.4,0.3696,0
3.41,0.2,0.2,0.2,0.2,1.596,0.4,0.3192,0
3.41,0.2,0.2,0.2,0.2,1.53,0.4,0.306,0
3.41,0.2,0.2,0.2,0.2,1.526,0.4,0.3052,0
3.41,0.2,0.2,0.2,0.2,1.486,0.4,0.2972,0
3.41,0.4,0.2,0.2,0.2,1.884,0.4,0.3768,0
3.41,0.2,0.2,0.2,0.2,1.434,0.4,0.2868,0
3.41,0.2,0.2,0.2,0.2,1.8,0.8,0.72,0
3.41,0.2,0.2,0.2,0.2,1.4,0.4,0.28,0
3.41,0.2,0.2,0.2,0.2,1.414,0.4,0.2828,0
2.72,0.6,0.6,0.2,0.6,69.658,1.6,55.7264,1
2.72,0.6,0.2,0.2,0.2,5.564,0.4,1.1128,1
2.72,0.6,0.6,0.2,0.2,29.096,0.4,5.8192,1
2.72,0.6,0.4,0.2,0.2,7.382,0.4,1.4764,1
2.72,0.6,0.6,0.2,0.2,65.93,0.4,13.186,1
2.72,0.6,0.4,0.2,0.2,18.01,0.4,3.602,1
2.72,0.6,0.6,0.2,0.2,56.942,0.4,11.3884,1
2.72,0.6,0.2,0.2,0.2,19.166,0.4,3.8332,1
2.72,0.6,0.2,0.2,0.2,6.92,0.4,1.384,1
2.72,0.6,0.6,0.2,0.2,88.832,0.4,17.7664,1
2.72,0.4,0.6,0.2,0.2,24.722,0.4,4.9444,1
2.72,0.6,0.2,0.2,0.2,3.764,0.4,0.7528,0
2.72,0.6,0.6,0.2,0.2,70.646,0.4,14.1292,1
2.72,0.6,0.4,0.2,0.4,81.09,0.8,32.436,1
2.72,0.6,0.4,0.2,0.2,30.434,0.4,6.0868,1
2.72,0.6,0.2,0.2,0.2,6.418,1.2,3.8508,1
2.72,0.6,0.6,0.4,0.4,102.946,1.2,61.7676,1
2.72,0.6,0.6,0.2,0.2,69.218,0.4,13.8436,1
2.72,0.4,0.6,0.2,0.2,35.798,0.4,7.1596,1
2.72,0.6,0.4,0.2,0.2,15.166,0.4,3.0332,1
2.72,0.4,0.2,0.2,0.2,2.156,0.4,0.4312,0
2.72,0.6,0.6,0.2,0.2,45.614,0.4,9.1228,1
2.72,0.6,0.6,0.2,0.2,114.992,0.4,22.9984,1
2.72,0.6,0.2,0.2,0.2,36.092,0.4,7.2184,1
2.72,0.6,0.6,0.2,0.2,64.024,0.4,12.8048,1
2.72,0.4,0.2,0.2,0.2,2.002,0.4,0.4004,0
2.72,0.6,0.6,0.2,0.2,84.032,0.4,16.8064,1
2.72,0.4,0.6,0.2,0.2,12.358,0.4,2.4716,1
2.72,0.6,0.6,0.2,0.2,143.21,0.8,57.284,1
2.72,0.6,0.6,0.4,0.2,85.596,0.8,34.2384,1
2.72,0.6,0.4,0.2,0.2,8.938,0.8,3.5752,1
2.72,0.6,0.6,0.2,0.2,118.404,0.8,47.3616,1
2.72,0.4,0.2,0.2,0.2,2.614,0.8,1.0456,1
2.72,0.6,0.4,0.2,0.2,23.914,0.8,9.5656,1
2.72,0.6,0.6,0.2,0.2,19.878,0.8,7.9512,1
2.72,0.6,0.6,0.2,0.2,123.632,0.4,24.7264,1
2.72,0.6,0.6,0.2,0.2,113.146,0.4,22.6292,1
2.72,0.6,0.6,0.2,0.2,49.052,0.4,9.8104,1
2.72,0.6,0.6,0.2,0.2,19.89,0.4,3.978,1
2.72,0.4,0.6,0.2,0.2,23.462,0.4,4.6924,1
2.72,0.6,0.6,0.2,0.2,108.362,0.4,21.6724,1
2.72,0.6,0.6,0.2,0.2,58.118,0.4,11.6236,1
2.72,0.6,0.2,0.2,0.2,2.948,0.4,0.5896,0
2.72,0.6,0.2,0.2,0.2,13.164,0.4,2.6328,1
2.72,0.4,0.2,0.2,0.2,2.412,0.4,0.4824,0
2.72,0.6,0.6,0.2,0.4,114.96,0.8,45.984,1
2.72,0.6,0.6,0.2,0.4,97.656,0.8,39.0624,1
2.72,0.6,0.6,0.2,0.4,68.508,0.8,27.4032,1
2.72,0.6,0.6,0.2,0.2,50.552,0.4,10.1104,1
2.72,0.6,0.4,0.2,0.2,28.868,0.4,5.7736,1
2.72,0.6,0.6,0.2,0.2,39.206,0.4,7.8412,1
2.72,0.6,0.6,0.2,0.6,801.262,2.4,961.5144,1
2.72,0.6,0.4,0.4,0.2,29.986,2.4,35.9832,1
2.72,0.6,0.6,0.2,0.2,18.126,1.2,10.8756,1
2.72,0.6,0.4,0.2,0.2,4.812,0.4,0.9624,0
2.72,0.6,0.6,0.2,0.2,93.028,0.4,18.6056,1
2.72,0.4,0.6,0.2,0.2,84.238,0.4,16.8476,1
2.72,0.4,0.6,0.2,0.2,412.624,0.4,82.5248,1
2.72,0.4,0.2,0.2,0.2,1.998,0.4,0.3996,0
2.72,0.4,0.2,0.2,0.2,2.004,0.4,0.4008,0
2.72,0.4,0.2,0.2,0.2,1.852,0.4,0.3704,0
2.72,0.4,0.2,0.2,0.2,2.288,0.4,0.4576,0
2.72,0.2,0.2,0.2,0.2,1.592,0.4,0.3184,0
2.72,0.4,0.2,0.2,0.2,2.04,0.4,0.408,0
2.72,0.4,0.2,0.2,0.2,2.336,0.8,0.9344,0
2.72,0.4,0.2,0.2,0.2,2.052,0.4,0.4104,0
2.72,0.4,0.2,0.2,0.2,1.856,0.4,0.3712,0
2.72,0.2,0.2,0.2,0.2,1.4,0.4,0.28,0
2.72,0.2,0.2,0.2,0.2,2.474,0.4,0.4948,0
2.72,0.4,0.2,0.2,0.2,1.82,0.4,0.364,0
2.72,0.2,0.6,0.2,0.2,19.91,0.4,3.982,1
2.72,0.2,0.2,0.2,0.2,1.8,0.8,0.72,0
2.72,0.2,0.4,0.2,0.2,4.852,0.4,0.9704,0
2.72,0.2,0.2,0.2,0.2,1.57,0.4,0.314,0
2.72,0.2,0.2,0.2,0.2,1.456,0.4,0.2912,0
2.72,0.2,0.2,0.2,0.2,1.536,0.4,0.3072,0
2.72,0.2,0.2,0.2,0.2,1.524,0.4,0.3048,0
2.37,0.6,0.6,0.4,0.4,35.444,1.2,21.2664,1
2.37,0.4,0.2,0.2,0.2,6.306,0.4,1.2612,1
2.37,0.6,0.6,0.2,0.2,14.3,1.2,8.58,1
2.37,0.6,0.2,0.2,0.2,4.974,0.4,0.9948,0
2.37,0.6,0.6,0.2,0.6,21.878,3.4,37.1926,1
2.37,0.6,0.2,0.2,0.2,6.538,0.4,1.3076,1
2.37,0.6,0.2,0.2,0.2,6.648,0.4,1.3296,1
2.37,0.4,0.2,0.2,0.2,2.432,0.4,0.4864,0
2.37,0.6,0.2,0.2,0.2,3.342,0.4,0.6684,0
2.37,0.6,0.4,0.2,0.4,10.034,0.8,4.0136,1
2.37,0.6,0.4,0.2,0.2,12.566,0.4,2.5132,1
2.37,0.6,0.4,0.4,0.6,8.608,2.0,8.608,1
2.37,0.4,0.4,0.2,0.2,7.758,0.4,1.5516,1
2.37,0.4,0.4,0.2,0.4,10.782,0.8,4.3128,1
2.37,0.6,0.2,0.2,0.2,7.952,0.4,1.5904,1
2.37,0.6,0.4,0.2,0.4,7.32,0.8,2.928,1
2.37,0.6,0.2,0.2,0.2,11.648,0.8,4.6592,1
2.37,0.6,0.4,0.2,0.2,7.86,0.4,1.572,1
2.37,0.6,0.6,0.2,0.4,20.94,0.8,8.376,1
2.37,0.2,0.2,0.2,0.2,1.66,0.4,0.332,0
2.37,0.2,0.2,0.2,0.2,4.686,0.4,0.9372,0
2.37,0.4,0.2,0.2,0.2,2.068,0.4,0.4136,0
2.37,0.4,0.6,0.2,0.2,18.858,0.4,3.7716,1
2.37,0.4,0.2,0.2,0.2,2.558,0.4,0.5116,0
2.37,0.6,0.4,0.2,0.2,5.716,0.4,1.1432,1
2.37,0.2,0.6,0.2,0.2,18.552,1.2,11.1312,1
2.37,0.4,0.2,0.2,0.2,3.948,1.2,2.3688,1
2.37,0.2,0.2,0.2,0.2,1.622,0.4,0.3244,0
2.37,0.4,0.2,0.2,0.2,2.24,0.4,0.448,0
2.37,0.2,0.2,0.2,0.2,1.538,0.4,0.3076,0
2.37,0.4,0.2,0.2,0.2,1.946,0.4,0.3892,0
2.37,0.4,0.2,0.2,0.2,1.966,0.4,0.3932,0
2.37,0.2,0.2,0.2,0.2,1.586,0.4,0.3172,0
2.37,0.4,0.2,0.2,0.2,2.228,0.4,0.4456,0
2.37,0.2,0.2,0.2,0.2,1.724,0.4,0.3448,0
2.37,0.2,0.2,0.2,0.2,2.648,0.8,1.0592,1
2.37,0.2,0.2,0.2,0.2,4.89,0.4,0.978,0
2.37,0.2,0.2,0.2,0.2,1.572,0.4,0.3144,0
2.37,0.2,0.2,0.2,0.2,1.596,0.4,0.3192,0
2.37,0.2,0.2,0.2,0.2,1.566,0.4,0.3132,0
2.37,0.6,0.2,0.2,0.2,3.632,0.4,0.7264,0
2.37,0.2,0.4,0.2,0.2,5.054,1.2,3.0324,1
2.37,0.2,0.2,0.2,0.2,2.302,1.2,1.3812,1
2.37,0.2,0.2,0.2,0.2,1.41,0.4,0.282,0
2.37,0.2,0.2,0.2,0.2,1.6,0.4,0.32,0
2.37,0.2,0.2,0.2,0.2,2.252,0.4,0.4504,0
2.37,0.2,0.2,0.2,0.2,1.486,0.4,0.2972,0
2.37,0.2,0.4,0.2,0.2,4.812,1.2,2.8872,1
2.37,0.2,0.2,0.2,0.2,2.2,1.2,1.32,1
2.37,0.4,0.2,0.2,0.2,2.542,0.4,0.5084,0
2.37,0.4,0.2,0.2,0.2,2.146,0.4,0.4292,0
2.37,0.4,0.2,0.2,0.2,2.222,0.4,0.4444,0
2.37,0.6,0.2,0.2,0.2,3.694,1.2,2.2164,1
2.37,0.6,0.6,0.2,0.2,30.316,1.2,18.1896,1
2.37,0.2,0.2,0.2,0.2,2.42,1.2,1.452,1
2.37,0.2,0.2,0.2,0.2,1.654,0.4,0.3308,0
2.37,0.4,0.2,0.2,0.2,1.942,0.4,0.3884,0
2.37,0.4,0.2,0.2,0.2,2.322,0.4,0.4644,0
2.37,0.2,0.2,0.2,0.2,1.4,0.4,0.28,0
2.37,0.2,0.2,0.2,0.2,1.414,0.4,0.2828,0
2.37,0.2,0.2,0.2,0.2,1.444,0.4,0.2888,0
2.37,0.2,0.2,0.2,0.2,1.418,0.4,0.2836,0
2.37,0.2,0.2,0.2,0.2,1.4034,0.4,0.28068,0
2.37,0.2,0.2,0.2,0.2,1.442,0.4,0.2884,0
2.37,0.4,0.2,0.2,0.2,3.092,1.2,1.8552,1
2.37,0.2,0.2,0.2,0.2,2.308,1.2,1.3848,1
2.37,0.2,0.2,0.2,0.2,2.682,1.2,1.6092,1
2.37,0.2,0.2,0.2,0.2,2.246,1.2,1.3476,1
1.99,0.6,0.6,0.2,0.2,622.838,0.4,124.5676,1
1.99,0.2,0.2,0.2,0.2,1.516,0.4,0.3032,0
1.99,0.4,0.4,0.2,0.2,4.792,0.4,0.9584,0
1.99,0.2,0.2,0.2,0.2,1.97,0.4,0.394,0
1.99,0.4,0.2,0.2,0.2,1.876,0.4,0.3752,0
1.99,0.2,0.2,0.2,0.2,1.972,0.4,0.3944,0
1.99,0.2,0.2,0.2,0.2,1.608,0.4,0.3216,0
1.99,0.4,0.2,0.2,0.2,2.156,0.4,0.4312,0
1.99,0.4,0.2,0.2,0.2,2.102,0.4,0.4204,0
1.99,0.2,0.2,0.2,0.2,1.46,0.4,0.292,0
1.99,0.2,0.4,0.2,0.2,4.544,0.4,0.9088,0
1.99,0.2,0.4,0.2,0.2,5.372,0.4,1.0744,1
1.99,0.4,0.2,0.2,0.2,1.904,0.4,0.3808,0
1.99,0.2,0.2,0.2,0.2,1.644,0.4,0.3288,0
1.99,0.2,0.2,0.2,0.2,1.47,0.4,0.294,0
1.99,0.4,0.2,0.2,0.2,2.462,0.4,0.4924,0
1.99,0.4,0.2,0.2,0.2,1.936,0.4,0.3872,0
1.99,0.2,0.2,0.2,0.2,1.862,0.4,0.3724,0
1.99,0.2,0.2,0.2,0.2,2.372,1.2,1.4232,1
1.99,0.4,0.2,0.2,0.2,2.848,1.2,1.7088,1
1.99,0.6,0.2,0.2,0.2,4.012,1.2,2.4072,1
1.99,0.2,0.2,0.2,0.2,2.318,1.2,1.3908,1
1.99,0.4,0.2,0.2,0.2,1.84,0.4,0.368,0
1.99,0.4,0.6,0.2,0.2,18.18,0.4,3.636,1
1.99,0.2,0.2,0.2,0.2,1.678,0.4,0.3356,0
1.99,0.2,0.2,0.2,0.2,1.59,0.4,0.318,0
1.99,0.4,0.6,0.2,0.2,107.448,0.4,21.4896,1
1.99,0.2,0.6,0.2,0.2,9.61,0.4,1.922,1
1.99,0.4,0.2,0.2,0.2,2.062,0.4,0.4124,0
1.99,0.4,0.2,0.2,0.2,1.96,0.4,0.392,0
1.99,0.4,0.6,0.2,0.2,26.948,0.4,5.3896,1
1.99,0.2,0.2,0.2,0.2,1.49,0.4,0.298,0
1.99,0.2,0.2,0.2,0.2,1.52,0.4,0.304,0
1.99,0.2,0.2,0.2,0.2,1.57,0.4,0.314,0
1.99,0.4,0.6,0.2,0.2,19.732,0.4,3.9464,1
1.99,0.4,0.2,0.2,0.2,1.914,0.4,0.3828,0
1.99,0.4,0.2,0.2,0.2,1.858,0.4,0.3716,0
1.99,0.4,0.2,0.2,0.2,2.418,0.8,0.9672,0
1.99,0.2,0.2,0.2,0.2,1.954,0.8,0.7816,0
1.99,0.2,0.2,0.2,0.2,1.912,0.8,0.7648,0
1.99,0.4,0.6,0.2,0.2,53.606,0.8,21.4424,1
1.99,0.2,0.2,0.2,0.2,1.896,0.8,0.7584,0
1.99,0.4,0.2,0.2,0.2,1.984,0.4,0.3968,0
1.99,0.4,0.6,0.2,0.2,8.436,0.4,1.6872,1
1.99,0.4,0.2,0.2,0.2,2.044,0.4,0.4088,0
1.99,0.2,0.2,0.2,0.2,1.4,0.4,0.28,0
1.85,0.6,0.6,0.2,0.2,118.85,0.4,23.77,1
1.85,0.6,0.2,0.2,0.2,3.644,0.4,0.7288,0
1.85,0.6,0.2,0.4,0.2,7.054,0.8,2.8216,1
1.85,0.2,0.2,0.2,0.2,2.378,0.4,0.4756,0
1.85,0.2,0.2,0.2,0.2,2.536,0.8,1.0144,1
1.85,0.6,0.2,0.2,0.2,10.58,0.8,4.232,1
1.85,0.6,0.2,0.2,0.2,3.79,0.8,1.516,1
1.85,0.6,0.2,0.2,0.2,6.72,0.8,2.688,1
1.85,0.2,0.2,0.2,0.2,1.4,0.4,0.28,0
1.85,0.2,0.2,0.4,0.2,2.816,1.6,2.2528,1
1.85,0.2,0.6,0.2,0.2,8.118,0.8,3.2472,1
1.85,0.6,0.2,0.2,0.2,9.538,0.4,1.9076,1
1.85,0.6,0.2,0.2,0.2,8.172,1.2,4.9032,1
1.85,0.2,0.2,0.2,0.2,1.452,0.4,0.2904,0
1.85,0.6,0.2,0.2,0.2,3.24,0.4,0.648,0
1.85,0.2,0.2,0.2,0.2,44.814,0.4,8.9628,1
1.85,0.6,0.2,0.2,0.2,3.206,0.4,0.6412,0
1.85,0.6,0.2,0.2,0.2,2.888,0.4,0.5776,0
1.85,0.6,0.2,0.2,0.2,7.482,0.4,1.4964,1
